app_name,category,description,app_id
Free Fire,GAME_ACTION,10-minute Survival Shooter!,com.dts.freefireth
Call of Duty: Mobile Season 3,GAME_ACTION,Realistic action-packed FPS Battle Royale & 5v5 multiplayer. Lock and load!,com.activision.callofduty.shooter
PUBG MOBILE,GAME_ACTION,Choice of Over 1 Billion Players! Ultimate Battle Royale On Mobile,com.tencent.ig
Brawl Stars,GAME_ACTION,Bring the chaos in epic multiplayer brawls. Dominate PvP and 5v5 battle royales!,com.supercell.brawlstars
Mob Control,GAME_ACTION,"Join Mob Control: Grow your army, lead your mobs, and conquer the battlefield!",com.vincentb.MobControl
Mortal Kombat,GAME_ACTION,Action-packed 3v3 fighting game with a huge roster of iconic fighters!,com.wb.goog.mkx
World War Heroes — WW2 PvP FPS,GAME_ACTION,Legendary frist person shooter with players around the world! Thrilling battles!,com.gamedevltd.wwh
Metalstorm,GAME_ACTION,Fighter Jet Flight Simulator. Master flying skills in a war aircraft shooter!,com.starform.metalstorm
Squad Busters,GAME_ACTION,Fun multiplayer games. Party action! Collect & Evolve Supercell Characters!,com.supercell.squad
Free Fire MAX,GAME_ACTION,MAX Battle Royale Experience,com.dts.freefiremax
Stumble Guys,GAME_ACTION,"Fun knockout battle royale, play with your friends!",com.kitkagames.fallbuddies
Subway Surfers,GAME_ACTION,"Help Jake, Tricky & Fresh escape from the grumpy Inspector and his dog!",com.kiloo.subwaysurf
Into the Dead 2,GAME_ACTION,Kill zombies & run for survival - the ultimate zombie apocalypse action shooter!,com.pikpok.dr2.play
Standoff 2,GAME_ACTION,Take action in renewed Standoff in the form of a dynamic FPS!,com.axlebolt.standoff2
Marvel Contest of Champions,GAME_ACTION,Prepare for action-packed battles in the ultimate Super Hero fighting game!,com.kabam.marvelbattle
Sonic Dash Endless Runner Game,GAME_ACTION,"Play as Sonic & friends, rank up & take endless running games to the next level",com.sega.sonicdash
Zooba: Fun Battle Royale Games,GAME_ACTION,"Brawl, Clash & Play an epic multiplayer online shooting action MOBA stars game!",com.wildlife.games.battle.royale.free.zooba
Hungry Shark Evolution,GAME_ACTION,Eat & evolve your shark in the ultimate shark survival game!,com.fgol.HungrySharkEvolution
Blood Strike - FPS for all,GAME_ACTION,Action-packed FPS For All,com.netease.newspike
Injustice 2,GAME_ACTION,Experience Action-Packed Fighting with Powerful DC Super Heroes & Super-Villains,com.wb.goog.injustice.brawler2017
Tacticool: PvP Action Shooter,GAME_ACTION,Choose your fav weapon: shotgun or frag grenade and join the realistic fight!,com.panzerdog.tacticool
Infinity Ops: Cyberpunk FPS,GAME_ACTION,A Sci-Fi online first person shooter with players from around the world!,com.gamedevltd.destinywarfare
Temple Run 2: Endless Escape,GAME_ACTION,"Run, jump, and escape in the ultimate endless jungle adventure game!",com.imangi.templerun2
Minion Rush: Running Game,GAME_ACTION,Official Minions and Despicable Me endless runner game,com.gameloft.android.ANMP.GloftDMHM
Arena Breakout: Realistic FPS,GAME_ACTION,BLOOD AND ICE. FROZEN FRONTLINE,com.proximabeta.mf.uamo
Sniper 3D：Gun Shooting Games,GAME_ACTION,Online & offline multiplayer FPS shooting game. Play PvP live with your friends!,com.fungames.sniper3d
Dan the Man: Action Platformer,GAME_ACTION,Do you like action and platform games? this is your game,com.halfbrick.dantheman
Pokémon GO,GAME_ACTION,Discover Pokémon worldwide,com.nianticlabs.pokemongo
Shadow Fight 3 - RPG fighting,GAME_ACTION,Start cool brawls with powerful fighters! Your ultimate ninja adventure awaits!,com.nekki.shadowfight3
Crossy Road,GAME_ACTION,Endless Arcade Hopper,com.yodo1.crossyroad
Wanderlog - Trip Planner App,TRAVEL_AND_LOCAL,"Map & organize your road trip and travel itinerary: TripIt, Roadtrippers in 1",com.wanderlog.android
TripIt: Travel Planner,TRAVEL_AND_LOCAL,TripIt® from Concur instantly organizes all your travel plans in one place.,com.tripit
Tripadvisor: Plan & Book Trips,TRAVEL_AND_LOCAL,Download the app to start planning your next trip.,com.tripadvisor.tripadvisor
Withlocals,TRAVEL_AND_LOCAL,"Find local things to do near you. Private, right here, right now!",com.withlocals.Withlocals
